cell_label,brain_section_label,cluster_alias,average_correlation_score,x_section,y_section,z_section,x_reconstructed,y_reconstructed,z_reconstructed,parcellation_index,x_ccf,y_ccf,z_ccf,parcellation_division,parcellation_structure,parcellation_substructure,cfos
1019171907101690066-1,C57BL6J-638850.40,14956,0.633895941569609,6.168063602625408,4.785360772117335,7.2,6.198297019402477,4.799122096871495,7.2,179,6.834411522479877,3.29703400371463,6.383005315741554,TH,LH,LH,1
1017092617101800213-1,C57BL6J-638850.38,14956,0.602278518446026,5.821303613058001,4.708050682732532,6.800000000000001,5.960910449150582,4.725154107344452,6.800000000000001,179,7.197603385324336,3.216757045241517,6.143619768596709,TH,LH,LH,0
1017092617101800248-1,C57BL6J-638850.38,5231,0.504103213777941,5.82528556124613,4.731833866449124,6.800000000000001,5.943692221851625,4.764580730694688,6.800000000000001,179,7.19233776738438,3.262685792447781,6.123091752160031,TH,LH,LH,0
1019171907101690380-1,C57BL6J-638850.40,14956,0.708595434077362,5.921433043208313,4.818520127785256,7.2,5.968480887410818,4.832322415317699,7.2,179,6.823936100848514,3.330394295791917,6.141657410039614,TH,LH,LH,1
1017092617101780245-1,C57BL6J-638850.38,14956,0.558567776406178,4.994624680366542,4.838024465172969,6.800000000000001,5.196046818974499,4.615213772563656,6.800000000000001,179,7.18851343769967,3.0785585351412506,5.356370133214747,TH,LH,LH,1
1019171907102040027-1,C57BL6J-638850.40,5254,0.549520359390214,5.2013185840262,4.771761775073839,7.2,5.302088319838763,4.797852982178103,7.2,179,6.810411819277776,3.2701996019803894,5.473060237499276,TH,LH,LH,2
1019171907102040268-2,C57BL6J-638850.40,14956,0.537379459389008,5.062828720842942,4.753769046044823,7.2,5.100143040488137,4.774897317270314,7.2,179,6.80725052893106,3.241332468874688,5.265619244283372,TH,LH,LH,2
1019171907102040353-1,C57BL6J-638850.40,14865,0.560780140341931,4.966362281058442,4.608086172873685,7.2,5.030255756192475,4.658824554363191,7.2,179,6.8190744142893855,3.104956736549261,5.196787837319696,TH,LH,LH,2
1019171907102040442-2,C57BL6J-638850.40,14956,0.635743352601358,5.003727207884329,4.987074955812509,7.2,5.0081064597642415,4.958321962642873,7.2,179,6.7833101245111616,3.449245251861195,5.169175502092577,TH,LH,LH,2
1017092617101800104-1,C57BL6J-638850.38,14956,0.662682873236184,5.670395893678511,4.673722322461994,6.800000000000001,5.82071157412444,4.700030347289872,6.800000000000001,179,7.195917342895823,3.190438908619322,5.995231200851082,TH,LH,LH,0
1019171907101690371-2,C57BL6J-638850.40,14956,0.629753738438615,5.971638346427571,4.985955247498995,7.2,5.990031447089961,4.924658462680352,7.2,179,6.81480120529843,3.4302176568636145,6.175681774957236,TH,LH,LH,2
